pid,name,normalized_burst_time,arrival_time,waiting_time,turnaround_time
370, (btrfs-transaction),86,49726,8681,8767
439, (systemd-journal),86,49726,8767,8853
477, (systemd-udevd),86,49726,8853,8939
479, (psimon),70,49726,8939,9009
543, (mount.ntfs),86,49726,9009,9095
566, (kworker/R-cfg80),71,49726,9095,9166
567, (irq/138-SYNA32DC:00),35,49726,9166,9201
622, (systemd-oomd),86,49726,9201,9287
627, (systemd-timesyn),86,49726,9287,9373
629, (kworker/R-ttm),71,49726,9373,9444
633, (card1-crtc0),35,49726,9444,9479
634, (card1-crtc1),35,49726,9479,9514
635, (card1-crtc2),35,49726,9514,9549
636, (card1-crtc3),35,49726,9549,9584
661, (avahi-daemon),86,49726,9584,9670
666, (bluetoothd),86,49726,9670,9756
667, (dbus-daemon),86,49726,9756,9842
674, (polkitd),86,49726,9842,9928
675, (power-profiles-),86,49726,9928,10014
678, (systemd-logind),86,49726,10014,10100
694, (NetworkManager),86,49726,10100,10186
696, (input-remapper-),86,49726,10186,10272
700, (avahi-daemon),86,49726,10272,10358
742, (ModemManager),86,49726,10358,10444
761, (gdm),86,49726,10444,10530
766, (irq/141-rtw89_pci),35,49726,10530,10565
791, (input-remapper-),86,49726,10565,10651
833, (wpa_supplicant),86,49726,10651,10737
861, (irq/142-AudioDSP),35,49726,10737,10772
865, (accounts-daemon),86,49726,10772,10858
886, (psimon),70,49726,10858,10928
1531, (colord),86,49726,10928,11014
1560, (upowerd),86,49726,11014,11100
1756, (rtkit-daemon),87,49726,11100,11187
1841, (krfcommd),79,49726,11187,11266
1886, (gdm-session-wor),86,49726,11266,11352
1899, (systemd),86,49726,11352,11438
1903, ((sd-pam)),86,49726,11438,11524
1916, (gnome-keyring-d),86,49726,11524,11610
1933, (dbus-daemon),86,49726,11610,11696
2099, (gdm-wayland-ses),86,49726,11696,11782
2109, (gnome-session-b),86,49726,11782,11868
2184, (gnome-session-c),86,49726,11868,11954
2200, (gnome-session-b),86,49726,11954,12040
2270, (gnome-shell),86,49726,12040,12126
2280, (gvfsd),86,49726,12126,12212
2287, (gvfsd-fuse),86,49726,12212,12298
2377, (at-spi-bus-laun),86,49726,12298,12384
2384, (dbus-daemon),86,49726,12384,12470
2387, (at-spi2-registr),86,49726,12470,12556
2405, (xdg-permission-),86,49726,12556,12642
2408, (gnome-shell-cal),86,49726,12642,12728
2419, (evolution-sourc),86,49726,12728,12814
2430, (gjs),86,49726,12814,12900
2447, (gsd-a11y-settin),86,49726,12900,12986
2448, (gsd-color),86,49726,12986,13072
2451, (gsd-datetime),86,49726,13072,13158
2453, (gsd-housekeepin),86,49726,13158,13244
