PID,Name,Priority,Arrival Time,Burst Time
1,(systemd),0,35443,21
2,(kthreadd),0,35443,21
3,(pool_workqueue_release),2,35443,21
4,(kworker/R-rcu_g),2,35443,1
5,(kworker/R-rcu_p),2,35443,1
6,(kworker/R-slub_),2,35443,1
7,(kworker/R-netns),2,35443,1
10,(kworker/0:1-events),2,35443,21
12,(kworker/R-mm_pe),2,35443,1
14,(rcu_tasks_kthread),2,35443,21
15,(rcu_tasks_rude_kthread),2,35443,21
16,(rcu_tasks_trace_kthread),2,35443,21
17,(ksoftirqd/0),2,35443,21
18,(rcu_preempt),2,35443,-1
19,(rcub/0),2,35443,-1
20,(migration/0),2,35443,-99
21,(idle_inject/0),2,35443,-50
22,(cpuhp/0),2,35443,21
23,(cpuhp/2),2,35443,21
24,(idle_inject/2),2,35443,-50
25,(migration/2),2,35443,-99
26,(ksoftirqd/2),2,35443,21
28,(kworker/2:0H-events_highpri),2,35443,1
29,(cpuhp/4),2,35443,21
30,(idle_inject/4),2,35443,-50
31,(migration/4),2,35443,-99
32,(ksoftirqd/4),2,35443,21
34,(kworker/4:0H-events_highpri),2,35443,1
35,(cpuhp/5),2,35443,21
36,(idle_inject/5),2,35443,-50
37,(migration/5),2,35443,-99
38,(ksoftirqd/5),2,35443,21
40,(kworker/5:0H-events_highpri),2,35443,1
41,(cpuhp/6),2,35443,21
42,(idle_inject/6),2,35443,-50
43,(migration/6),2,35443,-99
44,(ksoftirqd/6),2,35443,21
46,(kworker/6:0H-events_highpri),2,35443,1
47,(cpuhp/7),2,35443,21
48,(idle_inject/7),2,35443,-50
49,(migration/7),2,35443,-99
50,(ksoftirqd/7),2,35443,21
52,(kworker/7:0H-events_highpri),2,35443,1
53,(cpuhp/8),2,35443,21
54,(idle_inject/8),2,35443,-50
55,(migration/8),2,35443,-99
56,(ksoftirqd/8),2,35443,21
57,(kworker/8:0-events),2,35443,21
58,(kworker/8:0H-events_highpri),2,35443,1
59,(cpuhp/9),2,35443,21
60,(idle_inject/9),2,35443,-50
61,(migration/9),2,35443,-99
62,(ksoftirqd/9),2,35443,21
64,(kworker/9:0H-events_highpri),2,35443,1
65,(cpuhp/10),2,35443,21
66,(idle_inject/10),2,35443,-50
67,(migration/10),2,35443,-99
68,(ksoftirqd/10),2,35443,21
70,(kworker/10:0H-events_highpri),2,35443,1
71,(cpuhp/11),2,35443,21
72,(idle_inject/11),2,35443,-50
73,(migration/11),2,35443,-99
74,(ksoftirqd/11),2,35443,21
76,(kworker/11:0H-events_highpri),2,35443,1
77,(cpuhp/1),2,35443,21
78,(idle_inject/1),2,35443,-50
