PID,Name,Priority,Arrival Time,Burst Time
79,(migration/1),2,35443,-99
80,(ksoftirqd/1),2,35443,21
82,(kworker/1:0H-events_highpri),2,35443,1
83,(cpuhp/3),2,35443,21
84,(idle_inject/3),2,35443,-50
85,(migration/3),2,35443,-99
86,(ksoftirqd/3),2,35443,21
88,(kworker/3:0H-events_highpri),2,35443,1
89,(kdevtmpfs),2,35443,21
90,(kworker/R-inet_),2,35443,1
91,(kauditd),2,35443,21
92,(khungtaskd),2,35443,21
93,(oom_reaper),2,35443,21
95,(kworker/R-write),2,35443,1
96,(kcompactd0),2,35443,21
97,(ksmd),2,35443,26
99,(khugepaged),2,35443,40
100,(kworker/R-kinte),2,35443,1
101,(kworker/R-kbloc),2,35443,1
102,(kworker/R-blkcg),2,35443,1
104,(kworker/R-tpm_d),2,35443,1
105,(kworker/R-ata_s),2,35443,1
106,(kworker/R-edac-),2,35443,1
107,(kworker/R-devfr),2,35443,1
108,(watchdogd),2,35443,-50
109,(kworker/4:1H-events_highpri),2,35443,1
110,(kswapd0),2,35443,21
112,(kworker/R-kthro),2,35443,1
113,(irq/122-aerdrv),2,35443,-50
114,(irq/123-aerdrv),2,35443,-50
116,(kworker/R-acpi_),2,35443,1
119,(hwrng),2,35443,21
120,(kworker/R-hfi-u),2,35443,1
121,(kworker/R-mld),2,35443,1
122,(kworker/9:1H-events_highpri),2,35443,1
123,(kworker/R-ipv6_),2,35443,1
130,(kworker/R-kstrp),2,35443,1
134,(kworker/6:1-events),2,35443,21
138,(kworker/R-zswap),2,35443,1
140,(kworker/R-charg),2,35443,1
151,(kworker/7:1H-kblockd),2,35443,1
179,(kworker/8:1H-events_highpri),2,35443,1
186,(kworker/5:1H-events_highpri),2,35443,1
188,(kworker/2:1H-events_highpri),2,35443,1
189,(kworker/10:1H-events_highpri),2,35443,1
190,(kworker/0:1H-acpi_thermal_pm),2,35443,1
191,(kworker/11:1H-events_highpri),2,35443,1
199,(kworker/6:1H-events_highpri),2,35443,1
314,(kworker/1:1H-kblockd),2,35443,1
315,(kworker/3:1H-events_highpri),2,35443,1
333,(kworker/R-nvme-),2,35443,1
334,(kworker/R-nvme-),2,35443,1
335,(kworker/R-nvme-),2,35443,1
336,(kworker/R-nvme-),2,35443,1
337,(kworker/R-crypt),2,35443,1
356,(kworker/R-btrfs),2,35443,1
357,(kworker/R-btrfs),2,35443,1
358,(kworker/R-btrfs),2,35443,1
359,(kworker/R-btrfs),2,35443,1
360,(kworker/R-btrfs),2,35443,1
361,(kworker/R-btrfs),2,35443,1
362,(kworker/R-btrfs),2,35443,1
363,(kworker/R-btrfs),2,35443,1
364,(kworker/R-btrfs),2,35443,1
365,(kworker/R-btrfs),2,35443,1
366,(kworker/R-btrfs),2,35443,1
367,(kworker/R-btrfs),2,35443,1
368,(kworker/R-btrfs),2,35443,1
369,(btrfs-cleaner),2,35443,21
370,(btrfs-transaction),2,35443,21
439,(systemd-journal),1,35443,21
477,(systemd-udevd),1,35443,21
479,(psimon),2,35443,-1
543,(mount.ntfs),1,35443,21
566,(kworker/R-cfg80),2,35443,1
567,(irq/138-SYNA32DC:00),2,35443,-50
622,(systemd-oomd),1,35443,21
627,(systemd-timesyn),1,35443,21
629,(kworker/R-ttm),2,35443,1
633,(card1-crtc0),2,35443,-50
634,(card1-crtc1),2,35443,-50
635,(card1-crtc2),2,35443,-50
636,(card1-crtc3),2,35443,-50
661,(avahi-daemon),1,35443,21
666,(bluetoothd),1,35443,21
667,(dbus-daemon),1,35443,21
674,(polkitd),1,35443,21
675,(power-profiles-),1,35443,21
678,(systemd-logind),1,35443,21
694,(NetworkManager),1,35443,21
696,(input-remapper-),1,35443,21
700,(avahi-daemon),661,35443,21
742,(ModemManager),1,35443,21
761,(gdm),1,35443,21
766,(irq/141-rtw89_pci),2,35443,-50
791,(input-remapper-),696,35443,21
833,(wpa_supplicant),1,35443,21
861,(irq/142-AudioDSP),2,35443,-50
865,(accounts-daemon),1,35443,21
886,(psimon),2,35443,-1
1531,(colord),1,35443,21
1560,(upowerd),1,35443,21
1756,(rtkit-daemon),1,35443,22
1841,(krfcommd),2,35443,11
1886,(gdm-session-wor),761,35443,21
1899,(systemd),1,35443,21
1903,((sd-pam)),1899,35443,21
1916,(gnome-keyring-d),1899,35443,21
1933,(dbus-daemon),1899,35443,21
2099,(gdm-wayland-ses),1886,35443,21
2109,(gnome-session-b),2099,35443,21
2184,(gnome-session-c),1899,35443,21
2200,(gnome-session-b),1899,35443,21
2270,(gnome-shell),1899,35443,21
2280,(gvfsd),1899,35443,21
2287,(gvfsd-fuse),1899,35443,21
2377,(at-spi-bus-laun),1899,35443,21
2384,(dbus-daemon),2377,35443,21
2387,(at-spi2-registr),1899,35443,21
2405,(xdg-permission-),1899,35443,21
2408,(gnome-shell-cal),1899,35443,21
2419,(evolution-sourc),1899,35443,21
2430,(gjs),1899,35443,21
2447,(gsd-a11y-settin),1899,35443,21
2448,(gsd-color),1899,35443,21
2451,(gsd-datetime),1899,35443,21
2453,(gsd-housekeepin),1899,35443,21
2456,(gsd-keyboard),1899,35443,21
2458,(gsd-media-keys),1899,35443,21
2464,(gsd-power),1899,35443,21
2470,(gsd-print-notif),1899,35443,21
2474,(gsd-rfkill),1899,35443,21
2478,(gsd-screensaver),1899,35443,21
2479,(gsd-sharing),1899,35443,21
2482,(gsd-smartcard),1899,35443,21
2483,(gsd-sound),1899,35443,21
2487,(gsd-usb-protect),1899,35443,21
2500,(gsd-wacom),1899,35443,21
2542,(gsd-printer),1899,35443,21
2553,(gjs),1899,35443,21
2569,(garuda-system-m),2200,35443,21
2576,(ulauncher),2200,35443,21
2592,(gsd-disk-utilit),2200,35443,21
2607,(evolution-alarm),2200,35443,21
2612,(electron),2200,35443,21
2620,(udisksd),1,35443,21
2637,(goa-daemon),1899,35443,21
2641,(gvfs-udisks2-vo),1899,35443,21
2650,(evolution-calen),1899,35443,21
2670,(goa-identity-se),1899,35443,21
2677,(xdg-desktop-por),1899,35443,21
2688,(xdg-document-po),1899,35443,21
2694,(fusermount3),2688,35443,21
2700,(gvfs-mtp-volume),1899,35443,21
2706,(gvfs-gphoto2-vo),1899,35443,21
2721,(evolution-addre),1899,35443,21
2727,(gvfs-goa-volume),1899,35443,21
2735,(gvfs-afc-volume),1899,35443,21
2750,(electron),2612,35443,21
2753,(electron),2612,35443,21
2760,(Xwayland),2270,35443,21
2774,(electron),2753,35443,21
2799,(pipewire),1899,35443,10
2801,(wireplumber),1899,35443,10
2802,(pipewire-pulse),1899,35443,10
2925,(com.docker.back),1899,35443,21
2929,(python3),1899,35443,21
2930,(xdg-desktop-por),1899,35443,21
2971,(com.docker.buil),2925,35443,21
2980,(com.docker.dev-),2925,35443,21
2981,(com.docker.exte),2925,35443,21
3003,(Docker,2925,35443,21
3046,(xdg-desktop-por),1899,35443,21
3047,(input-remapper-),696,35443,21
3062,(Docker,696,35443,21
3064,(Docker,696,35443,21
3098,(Docker,696,35443,21
3126,(gsd-xsettings),1899,35443,21
3178,(mutter-x11-fram),2270,35443,21
3202,(electron),2750,35443,21
3204,(electron),2612,35443,21
3207,(libinput-debug-),2929,35443,21
3211,(electron),2612,35443,21
3248,(Docker,2612,35443,21
3250,(Docker,2612,35443,21
3722,(opera),2270,35443,20
3726,(opera_crashrepo),1899,35443,21
3731,(opera),3722,35443,21
3732,(opera),3722,35443,21
3734,(opera),3732,35443,21
3761,(opera),3731,35443,20
3762,(opera),3722,35443,21
3780,(opera),3734,35443,21
3844,(opera),3734,35443,26
3845,(opera),3734,35443,20
3862,(opera),3734,35443,26
3966,(opera),3734,35443,20
3992,(opera),3722,35443,21
4008,(opera),3734,35443,20
4041,(opera),3734,35443,20
4057,(opera),3734,35443,20
4066,(opera),3734,35443,20
4078,(opera),3734,35443,20
4087,(opera),3734,35443,26
4467,(opera),3734,35443,21
4473,(opera),3734,35443,26
4485,(opera),3734,35443,21
4940,(gvfsd-metadata),1899,35443,21
5439,(gvfsd-trash),2280,35443,21
5459,(dconf-service),1899,35443,21
5679,(opera),3734,35443,26
6830,(kworker/11:9-events),2,35443,21
7701,(gvfsd-network),2280,35443,21
7732,(gvfsd-dnssd),2280,35443,21
13562,(opera),3734,35443,26
15030,(opera),3734,35443,26
16813,(kworker/9:1-events),2,35443,21
17167,(kworker/2:1-i915-unordered),2,35443,21
17741,(kworker/10:2-events),2,35443,21
17850,(code),1899,35443,21
17853,(code),17850,35443,21
17854,(code),17850,35443,21
17856,(code),17854,35443,21
17870,(chrome_crashpad),1899,35443,21
17887,(code),17853,35443,21
17892,(code),17850,35443,21
17907,(code),17856,35443,21
17956,(code),17850,35443,21
17976,(code),17850,35443,21
18306,(opera),3734,35443,26
18604,(opera),3734,35443,26
19507,(kworker/11:0-i915-unordered),2,35443,21
19964,(kworker/7:1-events),2,35443,21
20086,(gvfsd-http),2280,35443,21
22804,(kworker/3:1-events),2,35443,21
23639,(kworker/1:2-events),2,35443,21
26452,(kworker/3:2-cgroup_destroy),2,35443,21
29185,(kworker/9:0),2,35443,21
30290,(kworker/0:2H-events_highpri),2,35443,1
34843,(opera),3734,35443,26
34852,(opera),3734,35443,26
37932,(kworker/4:0-mm_percpu_wq),2,35443,21
41273,(kworker/5:1-events),2,35443,21
46576,(kworker/0:0),2,35443,21
50954,(kworker/6:0-events),2,35443,21
51347,(code),17850,35443,21
51359,(code),17850,35443,21
51449,(code),51359,35443,21
51493,(code),51359,35443,21
51518,(code),51359,35443,21
51631,(code),17856,35443,21
51649,(code),17850,35443,21
51738,(code),51649,35443,21
51772,(code),17850,35443,21
51792,(fish),17956,35443,21
51858,(code),51649,35443,21
51909,(fish),17956,35443,21
52052,(code),51649,35443,21
52131,(code),51649,35443,21
52242,(kworker/8:2),2,35443,21
52251,(kworker/u24:14-btrfs-endio-write),2,35443,21
53093,(cpptools),51359,35443,21
53124,(fish),17956,35443,21
53215,(code),51359,35443,21
53282,(fish),17956,35443,21
53363,(python),53282,35443,21
53762,(kworker/1:1),2,35443,21
55044,(kworker/7:0),2,35443,21
55285,(kworker/10:0-mm_percpu_wq),2,35443,21
55912,(cpptools),51649,35443,21
56839,(kworker/u24:1-btrfs-endio-write),2,35443,21
57556,(opera),3734,35443,26
57571,(kworker/u24:5-btrfs-endio-write),2,35443,21
57633,(kworker/u25:0-rtw89_tx_wq),2,35443,1
58085,(cpptools-srv),1899,35443,21
58184,(kworker/u24:6-btrfs-endio-write),2,35443,21
58185,(kworker/u24:7-btrfs-endio-write),2,35443,21
58983,(kworker/5:0),2,35443,21
60152,(kworker/u24:2-i915),2,35443,21
60494,(kworker/4:1),2,35443,21
60699,(opera),3734,35443,21
60731,(opera),3734,35443,26
60771,(opera),3734,35443,26
60937,(kworker/u25:2-i915_flip),2,35443,1
60938,(opera),3734,35443,20
62002,(kworker/u24:0-btrfs-endio-write),2,35443,21
62003,(kworker/u24:3-btrfs-endio-write),2,35443,21
62234,(kworker/u24:4-btrfs-endio-write),2,35443,21
62362,(kworker/u24:8-btrfs-endio-write),2,35443,21
62363,(kworker/u24:9-btrfs-compressed-write),2,35443,21
63395,(kworker/2:0-i915-unordered),2,35443,21
63520,(kworker/u24:10-btrfs-endio-write),2,35443,21
63632,(kworker/u25:1-i915_flip),2,35443,1
63652,(kworker/u24:11-btrfs-endio-write),2,35443,21
63727,(kworker/u25:3),2,35443,1
63968,(sh),51792,35443,21
63977,(a.out),63968,35443,21
